 0.03, 1.00, 0.04
 0.02, 0.99, 0.03
 0.03, 0.99, 0.04
 0.03, 0.98, 0.04
 0.03, 1.01, 0.04
 0.03, 0.99, 0.03
 0.03, 1.00, 0.03
 0.02, 0.99, 0.03
 0.03, 0.98, 0.04
 0.02, 0.98, 0.04
 0.01, 0.99, 0.05
 0.02, 1.00, 0.04
 0.02, 1.00, 0.03
 0.02, 0.99, 0.03
 0.03, 0.98, 0.03
 0.03, 0.99, 0.04
 0.02, 0.99, 0.04
 0.01, 0.98, 0.04
 0.02, 1.00, 0.04
 0.03, 0.99, 0.04
 0.04, 0.99, 0.03
 0.02, 0.99, 0.04
 0.04, 0.99, 0.03
 0.02, 0.99, 0.03
 0.03, 0.99, 0.04
 0.01, 0.99, 0.04
 0.03, 0.99, 0.04
 0.03, 0.99, 0.03
 0.02, 0.98, 0.04
 0.03, 0.99, 0.04
 0.02, 0.99, 0.02
 0.04, 0.99, 0.04
 0.02, 1.00, 0.04
 0.03, 1.00, 0.04
 0.01, 0.99, 0.04
 0.02, 0.98, 0.04
 0.02, 1.00, 0.03
 0.02, 0.99, 0.04
 0.03, 0.99, 0.03
 0.01, 1.00, 0.04
 0.02, 0.99, 0.03
 0.04, 0.99, 0.05
 0.03, 0.99, 0.04
 0.02, 0.99, 0.03
 0.03, 1.00, 0.03
 0.02, 0.99, 0.05
 0.01, 0.99, 0.04
 0.02, 0.99, 0.04
 0.03, 0.99, 0.04
 0.03, 0.99, 0.04
 0.02, 0.98, 0.03
 0.02, 0.99, 0.04
 0.03, 1.00, 0.05
 0.02, 1.00, 0.04
 0.03, 0.99, 0.04
 0.01, 0.99, 0.05
 0.03, 0.99, 0.03
 0.02, 0.99, 0.03
 0.02, 0.99, 0.05
 0.03, 1.00, 0.04
 0.02, 0.98, 0.03
 0.01, 0.99, 0.04
 0.02, 0.99, 0.04
 0.03, 0.99, 0.04
 0.02, 0.98, 0.03
 0.03, 0.98, 0.04
 0.02, 0.98, 0.04
 0.02, 0.99, 0.03
 0.02, 1.00, 0.02
 0.02, 1.00, 0.04
 0.02, 1.00, 0.04
 0.03, 0.99, 0.03
 0.02, 0.99, 0.04
 0.03, 0.99, 0.03
 0.03, 0.99, 0.03
 0.03, 0.99, 0.03
 0.02, 0.99, 0.04
 0.01, 0.99, 0.04
 0.02, 1.00, 0.05
 0.02, 0.99, 0.05
 0.03, 0.98, 0.04
 0.03, 1.00, 0.04
 0.02, 1.01, 0.04
 0.03, 0.98, 0.04
 0.02, 1.00, 0.04
 0.03, 0.99, 0.03
 0.03, 0.99, 0.04
 0.03, 1.00, 0.05
 0.03, 0.99, 0.05
 0.02, 0.99, 0.03
 0.03, 1.00, 0.03
 0.02, 1.00, 0.03
 0.02, 0.99, 0.05
 0.01, 0.99, 0.03
 0.02, 0.98, 0.05
 0.03, 0.99, 0.03
 0.03, 0.98, 0.04
 0.02, 0.99, 0.04
 0.02, 1.00, 0.03
 0.03, 1.00, 0.03
 0.02, 0.99, 0.04
 0.02, 0.99, 0.04
 0.02, 1.00, 0.02
 0.02, 0.99, 0.05
 0.02, 0.99, 0.04
 0.04, 1.00, 0.03
 0.01, 0.99, 0.03
 0.02, 1.00, 0.05
 0.03, 0.99, 0.04
 0.03, 0.99, 0.03
 0.03, 0.99, 0.06
 0.03, 1.00, 0.04
 0.01, 1.00, 0.05
 0.03, 1.00, 0.04
 0.03, 0.99, 0.04
 0.04, 1.00, 0.03
 0.03, 1.00, 0.04
 0.02, 0.98, 0.05
 0.03, 0.98, 0.05
 0.02, 1.01, 0.03
 0.03, 1.01, 0.05
 0.04, 0.99, 0.04
 0.02, 0.98, 0.04
 0.02, 0.98, 0.04
 0.03, 0.99, 0.04
 0.03, 1.00, 0.05
 0.03, 0.99, 0.04
 0.01, 0.99, 0.04
 0.03, 1.00, 0.05
 0.02, 0.99, 0.04
 0.03, 1.00, 0.03
 0.03, 0.99, 0.04
 0.02, 1.00, 0.04
 0.02, 0.99, 0.04
 0.03, 1.00, 0.05
 0.03, 0.99, 0.05
 0.02, 0.99, 0.04
 0.03, 0.99, 0.04
 0.03, 1.01, 0.04
 0.03, 1.00, 0.05
 0.03, 1.01, 0.06
 0.02, 0.99, 0.05
 0.03, 0.99, 0.03
 0.03, 1.00, 0.05
 0.02, 0.99, 0.04
 0.02, 0.99, 0.03
 0.00, 0.99, 0.04
 0.03, 0.98, 0.05
 0.02, 0.99, 0.05
 0.02, 1.00, 0.04
 0.03, 0.98, 0.03
 0.02, 0.99, 0.05
 0.02, 1.00, 0.04
 0.02, 0.99, 0.03
 0.03, 0.98, 0.03
 0.01, 0.99, 0.04
 0.01, 0.99, 0.05
 0.02, 1.00, 0.04
 0.02, 1.00, 0.04
 0.02, 0.99, 0.04
 0.03, 0.99, 0.03
 0.02, 0.98, 0.04
 0.01, 0.99, 0.05
 0.02, 0.97, 0.04
 0.03, 0.99, 0.04
 0.02, 0.99, 0.04
 0.02, 0.99, 0.04
 0.03, 0.99, 0.04
 0.03, 0.98, 0.04
 0.02, 1.00, 0.04
 0.02, 0.99, 0.06
 0.03, 0.98, 0.05
 0.02, 1.00, 0.03
 0.03, 0.98, 0.05
 0.02, 1.00, 0.04
 0.02, 1.00, 0.04
 0.02, 0.98, 0.04
 0.03, 0.99, 0.04
 0.02, 0.99, 0.04
 0.03, 1.00, 0.05
 0.02, 0.99, 0.03
 0.02, 1.00, 0.04
 0.02, 0.99, 0.04
 0.02, 1.00, 0.04
 0.03, 0.99, 0.04
 0.02, 1.00, 0.04
 0.04, 1.00, 0.04
 0.03, 0.99, 0.04
 0.02, 1.00, 0.04
 0.03, 0.99, 0.04
 0.03, 0.98, 0.04
 0.04, 0.99, 0.04
 0.03, 1.00, 0.04
 0.02, 0.99, 0.05
 0.02, 1.00, 0.05
 0.03, 1.00, 0.05
 0.02, 0.98, 0.04
 0.03, 1.00, 0.03
 0.03, 1.00, 0.05
 0.04, 0.99, 0.05
 0.03, 1.00, 0.03
 0.04, 1.00, 0.05
 0.03, 0.99, 0.03
 0.03, 0.99, 0.04
 0.03, 1.00, 0.02
